mmwr_week,week,week_start,week_end,season,pathogen,lab_tot_tested,lab_tot_positive,lab_pct_positive,lab_tot_tested_cumulative,lab_tot_positive_cumulative,lab_pct_positive_cumulative,current_week_ending,row_id
201040,40,10/03/2010,10/09/2010,2010-2011,Influenza,129,0,0,129,0,0.00,10/07/2023,201040-Influenza
201041,41,10/10/2010,10/16/2010,2010-2011,Influenza,133,0,0,262,0,0.00,10/14/2023,201041-Influenza
201042,42,10/17/2010,10/23/2010,2010-2011,Influenza,144,0,0,406,0,0.00,10/21/2023,201042-Influenza
201043,43,10/24/2010,10/30/2010,2010-2011,Influenza,135,0,0,541,0,0.00,10/28/2023,201043-Influenza
201044,44,10/31/2010,11/06/2010,2010-2011,Influenza,150,1,0.0066666667,691,1,0.00,11/04/2023,201044-Influenza
201045,45,11/07/2010,11/13/2010,2010-2011,Influenza,125,0,0,816,1,0.00,11/11/2023,201045-Influenza
201046,46,11/14/2010,11/20/2010,2010-2011,Influenza,105,1,0.0095238095,921,2,0.00,11/18/2023,201046-Influenza
201047,47,11/21/2010,11/27/2010,2010-2011,Influenza,128,0,0,1049,2,0.00,11/25/2023,201047-Influenza
201048,48,11/28/2010,12/04/2010,2010-2011,Influenza,149,2,0.0134228188,1198,4,0.00,12/02/2023,201048-Influenza
201049,49,12/05/2010,12/11/2010,2010-2011,Influenza,173,6,0.0346820809,1371,10,0.01,12/09/2023,201049-Influenza
201050,50,12/12/2010,12/18/2010,2010-2011,Influenza,176,6,0.0340909091,1547,16,0.01,12/16/2023,201050-Influenza
201051,51,12/19/2010,12/25/2010,2010-2011,Influenza,187,19,0.1016042781,1734,35,0.02,12/23/2023,201051-Influenza
201052,52,12/26/2010,01/01/2011,2010-2011,Influenza,299,27,0.0903010033,2033,62,0.03,12/30/2023,201052-Influenza
201101,1,01/02/2011,01/08/2011,2010-2011,Influenza,389,28,0.0719794344,2422,90,0.04,01/06/2024,201101-Influenza
201102,2,01/09/2011,01/15/2011,2010-2011,Influenza,285,43,0.150877193,2707,133,0.05,01/13/2024,201102-Influenza
201103,3,01/16/2011,01/22/2011,2010-2011,Influenza,357,83,0.2324929972,3064,216,0.07,01/20/2024,201103-Influenza
201104,4,01/23/2011,01/29/2011,2010-2011,Influenza,407,92,0.226044226,3471,308,0.09,01/27/2024,201104-Influenza
201105,5,01/30/2011,02/05/2011,2010-2011,Influenza,387,93,0.2403100775,3858,401,0.10,02/03/2024,201105-Influenza
201106,6,02/06/2011,02/12/2011,2010-2011,Influenza,468,84,0.1794871795,4326,485,0.11,02/10/2024,201106-Influenza
201107,7,02/13/2011,02/19/2011,2010-2011,Influenza,466,78,0.1673819742,4792,563,0.12,02/17/2024,201107-Influenza
201108,8,02/20/2011,02/26/2011,2010-2011,Influenza,464,80,0.1724137931,5256,643,0.12,02/24/2024,201108-Influenza
201109,9,02/27/2011,03/05/2011,2010-2011,Influenza,437,56,0.1281464531,5693,699,0.12,03/02/2024,201109-Influenza
201110,10,03/06/2011,03/12/2011,2010-2011,Influenza,439,57,0.1298405467,6132,756,0.12,03/09/2024,201110-Influenza
201111,11,03/13/2011,03/19/2011,2010-2011,Influenza,401,39,0.0972568579,6533,795,0.12,03/16/2024,201111-Influenza
201112,12,03/20/2011,03/26/2011,2010-2011,Influenza,387,28,0.0723514212,6920,823,0.12,03/23/2024,201112-Influenza
201113,13,03/27/2011,04/02/2011,2010-2011,Influenza,331,25,0.0755287009,7251,848,0.12,03/30/2024,201113-Influenza
201114,14,04/03/2011,04/09/2011,2010-2011,Influenza,337,16,0.0474777448,7588,864,0.11,04/06/2024,201114-Influenza
201115,15,04/10/2011,04/16/2011,2010-2011,Influenza,257,8,0.0311284047,7845,872,0.11,04/13/2024,201115-Influenza
201116,16,04/17/2011,04/23/2011,2010-2011,Influenza,273,6,0.021978022,8118,878,0.11,04/20/2024,201116-Influenza
201117,17,04/24/2011,04/30/2011,2010-2011,Influenza,173,4,0.0231213873,8291,882,0.11,04/27/2024,201117-Influenza
201118,18,05/01/2011,05/07/2011,2010-2011,Influenza,221,3,0.0135746606,8512,885,0.10,05/04/2024,201118-Influenza
201119,19,05/08/2011,05/14/2011,2010-2011,Influenza,207,1,0.0048309179,8719,886,0.10,05/11/2024,201119-Influenza
201120,20,05/15/2011,05/21/2011,2010-2011,Influenza,178,0,0,8897,886,0.10,05/18/2024,201120-Influenza
201121,21,05/22/2011,05/28/2011,2010-2011,Influenza,158,0,0,9055,886,0.10,05/25/2024,201121-Influenza
201122,22,05/29/2011,06/04/2011,2010-2011,Influenza,102,0,0,9157,886,0.10,06/01/2024,201122-Influenza
201123,23,06/05/2011,06/11/2011,2010-2011,Influenza,102,0,0,9259,886,0.10,06/08/2024,201123-Influenza
201124,24,06/12/2011,06/18/2011,2010-2011,Influenza,76,0,0,9335,886,0.09,06/15/2024,201124-Influenza
201125,25,06/19/2011,06/25/2011,2010-2011,Influenza,94,1,0.0106382979,9429,887,0.09,06/22/2024,201125-Influenza
201126,26,06/26/2011,07/02/2011,2010-2011,Influenza,78,0,0,9507,887,0.09,06/29/2024,201126-Influenza
201127,27,07/03/2011,07/09/2011,2010-2011,Influenza,61,0,0,9568,887,0.09,07/06/2024,201127-Influenza
201128,28,07/10/2011,07/16/2011,2010-2011,Influenza,54,0,0,9622,887,0.09,07/13/2024,201128-Influenza
201129,29,07/17/2011,07/23/2011,2010-2011,Influenza,65,0,0,9687,887,0.09,07/20/2024,201129-Influenza
201130,30,07/24/2011,07/30/2011,2010-2011,Influenza,56,0,0,9743,887,0.09,07/27/2024,201130-Influenza
201131,31,07/31/2011,08/06/2011,2010-2011,Influenza,51,0,0,9794,887,0.09,08/03/2024,201131-Influenza
201132,32,08/07/2011,08/13/2011,2010-2011,Influenza,45,0,0,9839,887,0.09,08/10/2024,201132-Influenza
201133,33,08/14/2011,08/20/2011,2010-2011,Influenza,65,0,0,9904,887,0.09,08/17/2024,201133-Influenza
201134,34,08/21/2011,08/27/2011,2010-2011,Influenza,73,0,0,9977,887,0.09,08/24/2024,201134-Influenza
201135,35,08/28/2011,09/03/2011,2010-2011,Influenza,59,0,0,10036,887,0.09,08/31/2024,201135-Influenza
201136,36,09/04/2011,09/10/2011,2010-2011,Influenza,52,1,0.0192307692,10088,888,0.09,09/07/2024,201136-Influenza
201137,37,09/11/2011,09/17/2011,2010-2011,Influenza,79,0,0,10167,888,0.09,09/14/2024,201137-Influenza
201138,38,09/18/2011,09/24/2011,2010-2011,Influenza,80,0,0,10247,888,0.09,09/21/2024,201138-Influenza
201139,39,09/25/2011,10/01/2011,2010-2011,Influenza,64,0,0,10311,888,0.09,09/28/2024,201139-Influenza
201140,40,10/02/2011,10/08/2011,2011-2012,Influenza,154,0,0,154,0,0.00,10/07/2023,201140-Influenza
201141,41,10/09/2011,10/15/2011,2011-2012,Influenza,150,1,0.0066666667,304,1,0.00,10/14/2023,201141-Influenza
201142,42,10/16/2011,10/22/2011,2011-2012,Influenza,157,0,0,461,1,0.00,10/21/2023,201142-Influenza
201143,43,10/23/2011,10/29/2011,2011-2012,Influenza,158,0,0,619,1,0.00,10/28/2023,201143-Influenza
201144,44,10/30/2011,11/05/2011,2011-2012,Influenza,140,1,0.0071428571,759,2,0.00,11/04/2023,201144-Influenza
201145,45,11/06/2011,11/12/2011,2011-2012,Influenza,182,0,0,941,2,0.00,11/11/2023,201145-Influenza
201146,46,11/13/2011,11/19/2011,2011-2012,Influenza,139,0,0,1080,2,0.00,11/18/2023,201146-Influenza
201147,47,11/20/2011,11/26/2011,2011-2012,Influenza,157,0,0,1237,2,0.00,11/25/2023,201147-Influenza
201148,48,11/27/2011,12/03/2011,2011-2012,Influenza,181,1,0.0055248619,1418,3,0.00,12/02/2023,201148-Influenza
201149,49,12/04/2011,12/10/2011,2011-2012,Influenza,162,0,0,1580,3,0.00,12/09/2023,201149-Influenza
201150,50,12/11/2011,12/17/2011,2011-2012,Influenza,188,0,0,1768,3,0.00,12/16/2023,201150-Influenza
201151,51,12/18/2011,12/24/2011,2011-2012,Influenza,206,1,0.0048543689,1974,4,0.00,12/23/2023,201151-Influenza
201152,52,12/25/2011,12/31/2011,2011-2012,Influenza,182,3,0.0164835165,2156,7,0.00,12/30/2023,201152-Influenza
201201,1,01/01/2012,01/07/2012,2011-2012,Influenza,269,5,0.0185873606,2425,12,0.00,01/06/2024,201201-Influenza
201202,2,01/08/2012,01/14/2012,2011-2012,Influenza,248,1,0.0040322581,2673,13,0.00,01/13/2024,201202-Influenza
201203,3,01/15/2012,01/21/2012,2011-2012,Influenza,228,1,0.0043859649,2901,14,0.00,01/20/2024,201203-Influenza
201204,4,01/22/2012,01/28/2012,2011-2012,Influenza,254,3,0.0118110236,3155,17,0.01,01/27/2024,201204-Influenza
201205,5,01/29/2012,02/04/2012,2011-2012,Influenza,245,2,0.0081632653,3400,19,0.01,02/03/2024,201205-Influenza
201206,6,02/05/2012,02/11/2012,2011-2012,Influenza,268,12,0.0447761194,3668,31,0.01,02/10/2024,201206-Influenza
201207,7,02/12/2012,02/18/2012,2011-2012,Influenza,350,20,0.0571428571,4018,51,0.01,02/17/2024,201207-Influenza
201208,8,02/19/2012,02/25/2012,2011-2012,Influenza,371,32,0.0862533693,4389,83,0.02,02/24/2024,201208-Influenza
201209,9,02/26/2012,03/03/2012,2011-2012,Influenza,418,78,0.1866028708,4807,161,0.03,03/02/2024,201209-Influenza
201210,10,03/04/2012,03/10/2012,2011-2012,Influenza,432,87,0.2013888889,5239,248,0.05,03/09/2024,201210-Influenza
201211,11,03/11/2012,03/17/2012,2011-2012,Influenza,506,119,0.2351778656,5745,367,0.06,03/16/2024,201211-Influenza
201212,12,03/18/2012,03/24/2012,2011-2012,Influenza,485,85,0.175257732,6230,452,0.07,03/23/2024,201212-Influenza
201213,13,03/25/2012,03/31/2012,2011-2012,Influenza,379,50,0.1319261214,6609,502,0.08,03/30/2024,201213-Influenza
201214,14,04/01/2012,04/07/2012,2011-2012,Influenza,329,29,0.0881458967,6938,531,0.08,04/06/2024,201214-Influenza
201215,15,04/08/2012,04/14/2012,2011-2012,Influenza,283,29,0.1024734982,7221,560,0.08,04/13/2024,201215-Influenza
201216,16,04/15/2012,04/21/2012,2011-2012,Influenza,295,27,0.0915254237,7516,587,0.08,04/20/2024,201216-Influenza
201217,17,04/22/2012,04/28/2012,2011-2012,Influenza,285,14,0.049122807,7801,601,0.08,04/27/2024,201217-Influenza
201218,18,04/29/2012,05/05/2012,2011-2012,Influenza,203,15,0.0738916256,8004,616,0.08,05/04/2024,201218-Influenza
201219,19,05/06/2012,05/12/2012,2011-2012,Influenza,175,8,0.0457142857,8179,624,0.08,05/11/2024,201219-Influenza
201220,20,05/13/2012,05/19/2012,2011-2012,Influenza,198,4,0.0202020202,8377,628,0.07,05/18/2024,201220-Influenza
201221,21,05/20/2012,05/26/2012,2011-2012,Influenza,166,4,0.0240963855,8543,632,0.07,05/25/2024,201221-Influenza
201222,22,05/27/2012,06/02/2012,2011-2012,Influenza,145,2,0.0137931034,8688,634,0.07,06/01/2024,201222-Influenza
201223,23,06/03/2012,06/09/2012,2011-2012,Influenza,155,1,0.0064516129,8843,635,0.07,06/08/2024,201223-Influenza
201224,24,06/10/2012,06/16/2012,2011-2012,Influenza,113,2,0.017699115,8956,637,0.07,06/15/2024,201224-Influenza
201225,25,06/17/2012,06/23/2012,2011-2012,Influenza,79,2,0.0253164557,9035,639,0.07,06/22/2024,201225-Influenza
201226,26,06/24/2012,06/30/2012,2011-2012,Influenza,70,0,0,9105,639,0.07,06/29/2024,201226-Influenza
201227,27,07/01/2012,07/07/2012,2011-2012,Influenza,75,0,0,9180,639,0.07,07/06/2024,201227-Influenza
201228,28,07/08/2012,07/14/2012,2011-2012,Influenza,86,1,0.011627907,9266,640,0.07,07/13/2024,201228-Influenza
