"YearStart","YearEnd","Race/Ethnicity","Sample_Size"
"2019","2019","White, non-Latinx","3819.0"
"2019","2019","Other, non-Latinx","125.0"
"2019","2019","Latinx","263.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","136.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","Latinx","128.0"
"2019","2019","Other, non-Latinx","126.0"
"2019","2019","Other, non-Latinx","65.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Black, non-Latinx","1326.0"
"2019","2019","Black, non-Latinx","2944.0"
"2019","2019","Latinx","289.0"
"2019","2019","Asian, non-Latinx","51.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","1189.0"
"2019","2019","Other, non-Latinx","57.0"
"2019","2019","Other, non-Latinx","113.0"
"2019","2019","Latinx","505.0"
"2019","2019","Other, non-Latinx","64.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","White, non-Latinx","6433.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","1558.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","115.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","Black, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","105.0"
"2019","2019","Other, non-Latinx","77.0"
"2019","2019","White, non-Latinx","5370.0"
"2019","2019","Latinx","588.0"
"2019","2019","Other, non-Latinx","67.0"
"2019","2019","Other, non-Latinx","356.0"
"2019","2019","Other, non-Latinx","89.0"
"2019","2019","White, non-Latinx",""
"2019","2019","White, non-Latinx","3730.0"
"2019","2019","Latinx","95.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","306.0"
"2019","2019","Latinx","461.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx",""
"2019","2019","Asian, non-Latinx",""
"2019","2019","White, non-Latinx","4426.0"
"2019","2019","Other, non-Latinx","89.0"
"2019","2019","White, non-Latinx","6457.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","115.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Latinx","84.0"
"2019","2019","White, non-Latinx","6195.0"
"2019","2019","Asian, non-Latinx","387.0"
"2019","2019","White, non-Latinx","4079.0"
"2019","2019","Other, non-Latinx",""
"2019","2019","Other, non-Latinx","53.0"
"2019","2019","Latinx","125.0"
"2019","2019","Black, non-Latinx","360.0"
"2019","2019","Black, non-Latinx","251.0"
"2019","2019","Asian, non-Latinx",""
"2019","2019","White, non-Latinx","9171.0"
"2019","2019","Asian, non-Latinx","195.0"
